Weather,Rainbow,It has seven colors,It appears after the rain when it is sunny,It is shaped like an arch
Job,Doctor,This person works in a hospital,They help sick people get better,They often wear a white coat
Place,Library,It is a building full of books,You have to be quiet inside,You can borrow books from here
Object,Umbrella,You use it when it rains,It keeps you dry,It has a handle and a canopy
Object,Bicycle,It has two wheels,You have to pedal to make it move,It is a popular way to exercise
Object,Telescope,It is used to look at the stars,It makes distant objects look closer,Astronomers use it
Object,Computer,It has a screen and a keyboard,You use it to browse the internet,It can be a laptop or a desktop
Object,Camera,It is used to take photos,It captures memories in pictures,It has a lens and a flash
Object,Compass,It helps you find your way,The needle always points North,Hikers and sailors use it
Object,Piano,It is a large musical instrument,It has 88 black and white keys,You play it by pressing the keys with your fingers
OOP,Class,It is a blueprint or template for creating objects,It defines properties and behaviors,It is the basic building block of OOP
OOP,Object,It is an instance of a class,It has state and behavior,Everything in the real world can be modeled as this
OOP,Encapsulation,It hides the internal details of an object,It uses private and public access modifiers,It is often called data hiding
OOP,Inheritance,It allows a class to acquire properties from another class,It promotes code reusability,It uses terms like Parent and Child or Base and Derived
OOP,Polymorphism,The word means many forms,It allows one interface to be used for a general class of actions,It is often implemented using Method Overriding
OOP,Abstraction,It shows only essential features and hides complexity,It can be achieved using abstract classes or interfaces,It helps reduce programming effort and complexity
OOP,Constructor,It is a special method called when an object is created,It usually has the same name as the class,It is used to initialize the object's attributes
OOP,Interface,It is a completely abstract class,It contains only abstract methods,A class can implement multiple ones of these
OOP,Method,It represents the behavior of an object,It is a function defined inside a class,It can perform actions or return data
OOP,Destructor,It is a special method called when an object is destroyed,It is used to free up memory or resources,In C++ its name starts with a tilde (~) symbol
Fruit,Pineapple,It_is_a_tropical_fruit,Its_skin_is_rough,It_has_a_crown_on_top
Fruit,Banana,It is long and yellow,Monkeys love eating it,You have to peel it to eat
Fruit,Apple,It is usually red or green,It is crunchy and sweet,An apple a day keeps the doctor away
Fruit,Watermelon,It is green outside and red inside,It has many black seeds,It is very watery and great for summer
Fruit,Grape,They grow in bunches on vines,They can be purple or green,They are used to make wine
Fruit,Durian,It is known as the king of fruits,It has a very strong smell,Its skin is covered in sharp thorns
Fruit,Strawberry,It is small and red with seeds on the outside,It is heart-shaped,It goes well with cream or chocolate
Fruit,Dragon Fruit,It has a bright pink skin with green scales,The inside is white or red with tiny black seeds,It is a fruit from a cactus plant
Fruit,Orange,It is the same name as a color,It is famous for having a lot of Vitamin C,It is often squeezed into juice
Fruit,Mango,It is very sweet and juicy when ripe,It has a large flat stone (seed) inside,It is popular in tropical countries like Vietnam
Fruit,Pomegranate,It is round and red,Inside it is filled with many juicy red seeds,The name starts with the letter P
Technology,Keyboard,It_is_used_with_a_computer,It_has_many_keys,You_use_it_to_type
Animal,Elephant,It_is_a_very_large_animal,It_has_a_long_trunk,It_has_big_ears
Animal,Lion,It is known as the king of the jungle,Male ones have a large mane,It makes a loud roar
Animal,Giraffe,It has a very long neck,It has brown spots all over its body,It eats leaves from the tops of trees
Animal,Penguin,It is a bird but it cannot fly,It lives in cold places like Antarctica,It waddles when it walks and swims very well
Animal,Platypus,It is a mammal but it lays eggs,It has a bill like a duck,It lives in Australia
Animal,Rabbit,It has long ears and a short tail,It loves eating carrots,It moves by hopping
Animal,Chameleon,It can change its skin color,It has a very long and sticky tongue,Its eyes can move in different directions
Animal,Shark,It lives in the ocean,It has many rows of sharp teeth,It has a dorsal fin that sticks out of the water
Animal,Bee,It is a small insect with yellow and black stripes,It makes honey,It lives in a hive
Animal,Octopus,It lives in the sea and has eight arms,It has three hearts,It can spray ink to escape from enemies
